Pick,Player,Team_x,Pos,HT,WT,Age_x,Pre-Draft Team,Nationality,Player Link,League,GP,GS,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S %,PPR,PPS,ORtg,DRtg,PER,label,Team_encoded,Position_encoded
1,,,,,210,19,,,,,37.0,17.11111111111111,0.562,0.503,2.6,10.2,6.6,34.7,21.3,2.9,1.5,25.7,154.0,0.9,1.4,111.5,93.7,21.0,-1,27,6
2,,,,,220,21,,,,,101.0,17.11111111111111,0.577,0.527,5.9,18.0,12.4,26.5,21.1,3.0,2.6,27.3,162.3,-2.4,1.4,108.3,91.6,22.6,-2,52,4
3,,,,,265,18,,,,,36.0,17.11111111111111,0.621,0.611,12.4,20.5,16.6,7.9,20.0,1.9,8.1,21.8,124.0,-6.4,1.5,111.6,88.1,23.1,-3,20,2
4,,,,,215,22,,,,,93.0,17.11111111111111,0.555,0.518,8.5,16.4,12.6,10.8,14.7,2.2,3.8,23.5,157.1,-3.4,1.3,109.9,94.5,20.2,-4,72,4
5,,,,,270,19,,,,,38.0,17.11111111111111,0.58,0.56,19.8,25.0,22.6,9.2,13.6,2.4,7.5,30.5,133.2,-5.6,1.6,118.5,83.5,32.1,-5,27,0
6,,,,,245,23,,,,,103.0,17.11111111111111,0.511,0.481,11.1,15.6,13.4,11.4,15.1,1.8,11.5,18.6,141.0,-1.8,1.2,108.5,94.7,19.6,-6,4,5
7,,,,,265,20,,,,,65.0,17.11111111111111,0.584,0.55,8.6,21.5,15.5,20.9,19.0,2.9,5.0,24.9,149.2,-2.5,1.5,111.7,92.5,23.8,-7,19,2
8,,,,,220,19,,,,,62.0,17.11111111111111,0.541,0.495,12.0,20.3,16.3,9.0,17.9,2.2,4.3,24.9,140.1,-6.0,1.4,106.2,91.2,21.0,-8,89,1
9,,,,,225,20,,,,,69.0,17.11111111111111,0.624,0.562,6.7,21.0,14.1,13.0,14.8,2.5,3.1,22.4,166.3,-2.6,1.6,121.7,88.7,23.5,-9,6,4
10,,,,,220,20,,,,,63.0,17.11111111111111,0.579,0.532,6.5,16.6,11.6,16.6,17.1,3.6,3.0,24.7,164.6,-3.4,1.4,109.3,96.7,21.3,-10,18,4
11,,,,,253,21,,,,,111.0,17.11111111111111,0.612,0.574,13.0,27.4,20.7,5.7,13.6,1.5,11.7,20.7,130.4,-3.6,1.5,122.9,82.8,26.5,-11,26,0
12,,,,,220,19,,,,,36.0,17.11111111111111,0.591,0.555,5.1,11.5,8.6,9.8,14.4,3.2,1.8,23.4,165.8,-3.3,1.4,115.8,92.6,20.1,-12,26,3
13,,,,,218,21,,,,,62.0,17.11111111111111,0.572,0.548,11.8,23.3,17.8,5.3,14.9,0.9,8.6,18.9,117.1,-3.7,1.5,114.9,90.9,21.0,-13,48,5
14,,,,,235,21,,,,,97.0,17.11111111111111,0.625,0.597,10.5,16.3,13.7,9.5,11.2,1.2,4.8,21.2,164.8,-1.8,1.5,127.0,93.8,23.8,-14,27,1
15,,,,,235,21,,,,,101.0,17.11111111111111,0.538,0.523,12.5,24.4,18.5,4.7,13.8,1.5,11.9,24.2,134.7,-5.1,1.3,107.4,86.4,23.6,-15,86,5
16,,,,,225,21,,,,,68.0,17.11111111111111,0.591,0.52,6.6,19.4,13.2,10.6,11.6,1.5,2.1,26.5,179.5,-2.8,1.4,120.5,100.2,25.3,-16,44,7
