WT,Age_x,GP,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S %,PPR,PPS,ORtg,DRtg,PER,Team_encoded,Position_encoded,PREDICTION,Player,RowIndex
251,19,39.0,0.644,0.595,15.6,28.5,22.2,14.1,12.9,1.5,5.1,27.1,168.0,-2.5,1.7,132.2,85.4,33.5,57,4,-13.191414272460433,Kevin Love,1
200,19,40.0,0.56,0.517,5.0,11.6,8.3,30.4,16.7,2.4,1.3,26.1,152.6,1.6,1.4,115.2,90.7,22.4,30,8,-17.890927612396283,Derrick Rose,2
235,19,33.0,0.61,0.563,13.5,30.0,21.6,9.3,11.8,2.3,5.6,35.1,168.5,-6.4,1.5,124.8,86.2,36.8,24,7,-35.99808168580553,Michael Beasley,3
255,20,69.0,0.647,0.633,15.4,25.8,20.9,7.3,13.5,1.3,6.3,27.8,132.1,-5.1,1.5,123.6,90.4,30.6,12,0,-40.68220305302223,Marreese Speights,4
215,19,32.0,0.601,0.515,2.6,8.0,5.5,15.1,17.1,2.3,2.0,30.8,160.3,-5.7,1.6,114.7,99.7,22.1,21,5,-41.28765279523445,Eric Gordon,5
183,20,73.0,0.569,0.51,1.7,6.8,4.3,32.4,16.9,2.3,0.1,24.3,165.2,3.1,1.4,118.7,104.4,20.6,53,5,-62.43502139550349,D.J. Augustin,6
235,20,37.0,0.533,0.494,9.7,15.8,12.7,13.8,14.8,1.8,1.9,29.0,146.7,-4.8,1.2,109.4,93.8,20.5,24,6,-64.63373287292652,Henry Walker,7
210,19,30.0,0.612,0.536,1.6,7.7,4.8,25.2,15.5,1.6,0.3,29.2,170.3,-0.8,1.6,116.6,107.8,21.6,3,5,-77.61090375988653,Jerryd Bayless,8
210,21,109.0,0.611,0.575,5.0,10.0,7.5,12.6,14.6,2.3,1.7,24.2,163.8,-3.2,1.5,119.0,92.8,21.8,30,9,-86.73719427159897,Chris Douglas-Roberts,9
200,19,75.0,0.532,0.499,5.3,8.4,6.9,22.4,17.1,2.9,0.5,22.4,150.2,0.4,1.2,109.3,93.4,17.2,57,5,-88.26499571264846,Russell Westbrook,10
235,20,78.0,0.564,0.543,12.1,16.1,14.2,5.7,14.0,1.8,7.4,26.2,133.5,-5.4,1.3,111.1,87.2,22.1,23,7,-95.57056560298261,Darrell Arthur,11
250,21,99.0,0.595,0.563,9.8,19.4,14.7,7.4,12.5,1.4,7.4,24.3,158.6,-3.9,1.5,118.7,94.0,24.6,21,7,-114.27777044028987,D.J. White,12
210,20,33.0,0.562,0.524,3.8,10.4,7.4,21.4,16.1,2.5,1.1,31.8,165.4,-3.7,1.3,108.1,96.6,21.5,58,10,-120.66712982412324,O.J. Mayo,13
225,18,31.0,0.511,0.467,9.5,18.7,14.2,8.5,16.3,2.0,6.7,28.0,126.3,-6.5,1.2,99.7,96.0,20.6,26,7,-126.81566970125347,Anthony Randolph,14
265,19,37.0,0.551,0.533,11.7,15.8,13.9,4.5,10.2,1.0,7.7,28.4,153.7,-4.4,1.2,111.5,94.7,23.9,40,0,-131.13914057763878,Kosta Koufos,15
242,19,31.0,0.621,0.591,11.6,22.1,17.3,9.2,18.4,1.5,4.8,26.8,126.8,-7.1,1.7,111.8,99.3,24.5,34,7,-138.99996496451055,J.J. Hickson,16
240,20,93.7764705882353,0.5611294117647058,0.5319882352941175,7.9329268292682915,15.142682926829263,11.618292682926826,13.429268292682927,16.05529411764706,2.0646341463414632,4.08048780487805,23.206097560975607,146.01058823529405,-2.9073170731707325,1.3482352941176472,111.15975609756096,95.70121951219511,19.890243902439018,7,7,-162.3189366627902,Ryan Anderson,17
205,21,112.0,0.579,0.55,7.9,15.7,11.7,20.2,12.1,2.7,1.0,28.1,150.3,-1.3,1.4,119.4,101.6,26.3,61,2,-165.33996295025833,Reggie Williams,18
195,21,93.7764705882353,0.5611294117647058,0.5319882352941175,7.9329268292682915,15.142682926829263,11.618292682926826,13.429268292682927,16.05529411764706,2.0646341463414632,4.08048780487805,23.206097560975607,146.01058823529405,-2.9073170731707325,1.3482352941176472,111.15975609756096,95.70121951219511,19.890243902439018,66,5,-201.43903270845217,Michael Jenkins,19
230,21,110.0,0.55,0.543,7.3,15.9,11.7,10.6,15.5,4.2,2.6,22.6,138.1,-3.9,1.3,106.6,85.9,19.3,66,2,-203.29454258891727,Taj McCullough,20
270,20,66.0,0.557,0.56,11.5,17.2,14.6,3.8,16.9,1.5,9.4,25.2,141.2,-7.2,1.3,103.3,94.1,20.7,35,0,-220.2185804301883,JaVale McGee,21
