Pick,Player,Team,Draft Trades,Pos,HT,WT,Age,YOS,Pre-Draft Team,Class,Nationality
1,Victor Wembanyama,SAN,,F,7-3,235,19,1,Boulogne-Levallois (France),2004 DOB*,France
2,Brandon Miller,CHA,,F,6-7,200,20,1,Alabama,Fr*,United States
3,Scoot Henderson,POR,,G,6-3,206,19,1,NBA G League Ignite,2004 DOB,United States
4,Amen Thompson,HOU,,G,6-7,200,20,1,Overtime Elite (Georgia),2003 DOB,United States
5,Ausar Thompson,DET,,G,6-6,205,20,1,Overtime Elite (Georgia),2003 DOB,United States
6,Anthony Black,ORL,,G,6-7,200,19,1,Arkansas,Fr*,United States
7,Bilal Coulibaly,IND,IND to WAS,GF,6-8,195,18,1,Boulogne-Levallois (France),2004 DOB*,France
8,Jarace Walker,WAS,WAS to IND,G,6-7,235,19,1,Houston,Fr*,United States
9,Taylor Hendricks,UTH,,F,6-9,215,19,1,UCF,Fr*,United States
10,Cason Wallace,DAL,DAL to OKC,G,6-3,195,19,1,Kentucky,Fr*,United States
11,Jett Howard,ORL,,GF,6-6,215,19,1,Michigan,Fr*,United States
12,Dereck Lively II,OKC,OKC to DAL,C,7-1,230,19,1,Duke,Fr*,United States
13,Gradey Dick,TOR,,GF,6-6,200,19,1,Kansas,Fr*,United States
14,Jordan Hawkins,NOP,,G,6-5,190,21,1,UConn,So*,United States
15,Kobe Bufkin,ATL,,G,6-4,195,19,1,Michigan,So*,United States
16,Keyonte George,UTH,,G,6-4,185,19,1,Baylor,Fr*,United States
17,Jalen Hood-Schifino,LAL,,PG,6-5,210,20,1,Indiana,Fr*,United States
18,"Jaime Jaquez, Jr.",MIA,,GF,6-6,225,22,1,UCLA,Sr*,United States/Mexico
19,Brandin Podziemski,GOS,,G,6-4,205,20,1,Santa Clara,So*,United States
20,Cam Whitmore,HOU,,F,6-7,230,18,1,Villanova,Fr*,United States
21,Noah Clowney,BRK,,F,6-9,210,18,1,Alabama,Fr*,United States
22,Dariq Whitehead,BRK,,F,6-6,220,18,1,Duke,Fr*,United States
23,Kris Murray,POR,,F,6-8,216,22,1,Iowa,Jr*,United States
24,Olivier-Maxence Prosper,SAC,SAC to DAL,F,6-7,230,20,1,Marquette,Jr*,Canada
25,Marcus Sasser,MEM,MEM to BOSBOS to DET,G,6-2,195,22,1,Houston,Sr*,United States
26,Ben Sheppard,IND,,G,6-6,190,21,1,Belmont,Sr*,United States
27,"Nick Smith, Jr.",CHA,,G,6-2,185,19,1,Arkansas,Fr*,United States
28,Brice Sensabaugh,UTH,,F,6-5,235,19,1,Ohio State,Fr*,United States
29,Julian Strawther,IND,IND to DEN,GF,6-6,205,21,1,Gonzaga,Jr*,United States/Puerto Rico
30,Kobe Brown,LAC,,GF,6-7,250,23,1,Missouri,Sr*,United States
31,James Nnaji,DET,DET to BOSBOS to CHACHA to NYK,C,6-11,250,18,0,FC Barcelona II (Spain),2004 DOB*,Nigeria
32,Jalen Pickett,IND,IND to DEN,F,6-2,202,23,1,Penn State,Sr,United States
33,Leonard Miller,SAN,SAN to MIN,F,6-10,220,19,1,NBA G League Ignite,2003 DOB,Canada
34,Colby Jones,CHA,CHA to BOSBOS to SAC,GF,6-6,207,21,1,Xavier,Jr*,United States
35,Julian Phillips,BOS,BOS to WASWAS to CHI,F,6-8,198,19,1,Tennessee,Fr*,United States
36,"Andre Jackson, Jr.",ORL,ORL to MIL,G,6-6,209,21,1,UConn,Jr*,United States
37,Hunter Tyson,OKC,OKC to DEN,SF,6-8,215,23,1,Clemson,Sr,United States
38,Jordan Walsh,SAC,SAC to BOS,F,6-6,205,19,1,Arkansas,Fr*,United States
39,Mouhamed Gueye,CHA,CHA to BOSBOS to ATL,F,6-10,210,20,1,Washington State,So*,Senegal
40,Maxwell Lewis,DEN,DEN to LAL,SF,6-7,215,20,1,Pepperdine,So*,United States
41,Amari Bailey,CHA,,G,6-4,189,19,1,UCLA,Fr*,United States
42,Tristan Vukcevic,WAS,,F,7-0,220,20,1,KK Partizan (Serbia),2003 DOB*,Italy/Serbia
43,Rayan Rupert,POR,,G,6-6,195,19,1,New Zealand (New Zealand),2004 DOB*,France
